A  general and abstract terms
B  the body and the individual
C  arts and crafts
E  emotion
F  food and farming
G  government and public
H  architecture, housing and the home
I  money and commerce in industry
K  entertainment, sports and games
L  life and living things
M  movement, location, travel and transport
N  numbers and measurement
O  substances, materials, objects and equipment
P  education
Q  language and communication
S  social actions, states and processes
T  Time
W  world and environment
X  psychological actions, states and processes
Y  science and technology
Z  names and grammar
